epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.369,1.00225,1.03191,1.4611,0.87083,0.77794,0.88445,0.68153,0.81059,0.9907,1.39846,0.0670449,0.00033288,0.00033288
2,299.194,1.00648,1.01284,1.47513,0.83409,0.7944,0.88458,0.70718,0.73311,0.98251,1.30606,0.0340427,0.000664015,0.000664015
3,439.897,0.98684,0.96802,1.46294,0.89088,0.85135,0.92576,0.76957,0.64787,0.63821,1.23634,0.0010383,0.000992949,0.000992949
4,578.503,0.93105,0.91479,1.41437,0.92662,0.84401,0.93596,0.79424,0.56583,0.56395,1.15352,0.0009901,0.0009901,0.0009901
5,717.6,0.87315,0.83105,1.37167,0.92779,0.88955,0.95688,0.82499,0.55119,0.52368,1.14209,0.0009868,0.0009868,0.0009868
6,856.486,0.85401,0.80593,1.35309,0.92507,0.86844,0.9519,0.81865,0.54406,0.51363,1.14164,0.0009835,0.0009835,0.0009835
7,995.316,0.82994,0.7682,1.33327,0.94422,0.90253,0.96766,0.84251,0.48709,0.48439,1.07519,0.0009802,0.0009802,0.0009802
8,1134.65,0.80312,0.73372,1.31918,0.93298,0.88998,0.9636,0.85187,0.48872,0.48228,1.08152,0.0009769,0.0009769,0.0009769
9,1273.32,0.77953,0.70602,1.29535,0.9546,0.93472,0.97939,0.88215,0.44702,0.3783,1.04403,0.0009736,0.0009736,0.0009736
10,1412.34,0.74892,0.67033,1.26864,0.96554,0.93696,0.98375,0.88602,0.44792,0.38019,1.04935,0.0009703,0.0009703,0.0009703
11,1551.43,0.74715,0.663,1.27265,0.95629,0.93398,0.98078,0.89304,0.42592,0.35119,1.03355,0.000967,0.000967,0.000967
12,1690.12,0.72668,0.64689,1.26012,0.96368,0.94306,0.98275,0.90126,0.4109,0.33577,1.00973,0.0009637,0.0009637,0.0009637
13,1837.81,0.71785,0.6312,1.24649,0.94427,0.94511,0.98261,0.89347,0.41721,0.38133,1.02054,0.0009604,0.0009604,0.0009604
14,1978.29,0.71586,0.61546,1.24632,0.95694,0.92311,0.97668,0.88938,0.41428,0.37943,1.02029,0.0009571,0.0009571,0.0009571
15,2118.52,0.70441,0.6218,1.24616,0.96744,0.93514,0.98228,0.90301,0.39403,0.34605,1.00343,0.0009538,0.0009538,0.0009538
