epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.242,1.00534,1.03961,1.46375,0.84511,0.76004,0.84974,0.65475,0.80099,0.85959,1.32737,0.0670448,0.000332881,0.000332881
2,299.157,1.04191,1.05946,1.50128,0.8774,0.75191,0.86801,0.6878,0.76956,0.86489,1.34077,0.0340426,0.000664016,0.000664016
3,439.413,1.00569,1.00109,1.4746,0.82902,0.77583,0.82009,0.67276,0.66647,0.90104,1.25443,0.00103818,0.000992951,0.000992951
4,579.17,0.94678,0.93177,1.42994,0.9386,0.83298,0.92384,0.77985,0.61266,0.60348,1.20042,0.0009901,0.0009901,0.0009901
5,719.479,0.9131,0.89066,1.40023,0.92636,0.85762,0.93109,0.78399,0.62294,0.56959,1.18764,0.0009868,0.0009868,0.0009868
6,859.656,0.88092,0.84292,1.378,0.94147,0.85848,0.93645,0.80797,0.56244,0.53817,1.14244,0.0009835,0.0009835,0.0009835
7,999.98,0.84944,0.8042,1.35252,0.93335,0.85899,0.93408,0.80257,0.56648,0.52013,1.14765,0.0009802,0.0009802,0.0009802
8,1140.36,0.8334,0.77889,1.33182,0.93611,0.88793,0.95398,0.83587,0.5192,0.45957,1.11945,0.0009769,0.0009769,0.0009769
9,1280.64,0.79148,0.73504,1.30941,0.95164,0.90649,0.96103,0.85155,0.48845,0.39779,1.07299,0.0009736,0.0009736,0.0009736
10,1421.14,0.78672,0.7154,1.29419,0.93543,0.87961,0.9497,0.84106,0.49461,0.47493,1.07607,0.0009703,0.0009703,0.0009703
11,1561.38,0.77015,0.70286,1.29263,0.94791,0.88595,0.96019,0.85742,0.46815,0.42334,1.06573,0.000967,0.000967,0.000967
12,1701.68,0.76729,0.69613,1.2861,0.94872,0.91575,0.96948,0.86927,0.45884,0.37817,1.0472,0.0009637,0.0009637,0.0009637
13,1842.27,0.74777,0.66644,1.2673,0.9614,0.91419,0.97198,0.88003,0.43589,0.3628,1.03539,0.0009604,0.0009604,0.0009604
14,1981.89,0.74535,0.66701,1.26831,0.94595,0.91896,0.96932,0.87277,0.44399,0.36628,1.04024,0.0009571,0.0009571,0.0009571
15,2122.07,0.74266,0.66001,1.27216,0.95966,0.92068,0.97562,0.88651,0.41514,0.35754,1.02167,0.0009538,0.0009538,0.0009538
16,2261.79,0.71863,0.62844,1.24741,0.96675,0.91677,0.97407,0.88568,0.4229,0.34164,1.02157,0.0009505,0.0009505,0.0009505
17,2401.82,0.71083,0.62003,1.24084,0.96368,0.92814,0.97929,0.88824,0.42057,0.34055,1.01972,0.0009472,0.0009472,0.0009472
18,2541.93,0.70776,0.62036,1.2477,0.95284,0.92401,0.97536,0.88971,0.40611,0.34675,1.01275,0.0009439,0.0009439,0.0009439
19,2682.24,0.69011,0.59547,1.22671,0.97384,0.91403,0.97735,0.89044,0.41359,0.35055,1.01068,0.0009406,0.0009406,0.0009406
20,2822.57,0.68639,0.58686,1.22299,0.9664,0.93263,0.9806,0.89998,0.3951,0.31991,0.99428,0.0009373,0.0009373,0.0009373
21,2962.95,0.67384,0.58677,1.21527,0.96782,0.93356,0.98089,0.90282,0.38756,0.3233,0.98927,0.000934,0.000934,0.000934
22,3103.52,0.67756,0.58433,1.21022,0.96905,0.93713,0.98041,0.90323,0.38803,0.31498,0.9938,0.0009307,0.0009307,0.0009307
23,3243.81,0.67229,0.57655,1.21869,0.96867,0.92915,0.97978,0.90121,0.38673,0.30363,0.99521,0.0009274,0.0009274,0.0009274
24,3383.76,0.67487,0.57459,1.21091,0.97295,0.941,0.98489,0.90881,0.38201,0.30221,0.97803,0.0009241,0.0009241,0.0009241
25,3524.45,0.66261,0.56853,1.2029,0.96924,0.94039,0.98264,0.90553,0.38433,0.3072,0.99092,0.0009208,0.0009208,0.0009208
26,3664.38,0.66352,0.55518,1.20492,0.96317,0.94066,0.98287,0.91099,0.36934,0.29476,0.97681,0.0009175,0.0009175,0.0009175
27,3805.17,0.653,0.54453,1.19735,0.97311,0.93612,0.98465,0.91437,0.36066,0.28881,0.97648,0.0009142,0.0009142,0.0009142
28,3948.49,0.65116,0.54916,1.19505,0.97291,0.94667,0.98618,0.91576,0.35335,0.27993,0.95625,0.0009109,0.0009109,0.0009109
29,4092.14,0.64232,0.54648,1.19141,0.96541,0.95217,0.98653,0.91904,0.35843,0.28747,0.9662,0.0009076,0.0009076,0.0009076
30,4235.58,0.64056,0.54026,1.18758,0.97285,0.94898,0.98805,0.91878,0.35662,0.27322,0.96178,0.0009043,0.0009043,0.0009043
31,4380.61,0.63154,0.53133,1.17977,0.97075,0.94825,0.98819,0.92321,0.34874,0.27138,0.95501,0.000901,0.000901,0.000901
32,4524.58,0.63202,0.52666,1.18118,0.97733,0.95063,0.98863,0.92214,0.34822,0.26739,0.95199,0.0008977,0.0008977,0.0008977
33,4670.51,0.6289,0.52576,1.17753,0.97792,0.9492,0.98895,0.92384,0.34339,0.27071,0.95252,0.0008944,0.0008944,0.0008944
34,4818.6,0.61724,0.508,1.17062,0.97205,0.95357,0.98817,0.92357,0.34751,0.27358,0.95881,0.0008911,0.0008911,0.0008911
