epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.369,1.00225,1.03191,1.4611,0.87083,0.77794,0.88445,0.68153,0.81059,0.9907,1.39846,0.0670449,0.00033288,0.00033288
2,299.194,1.00648,1.01284,1.47513,0.83409,0.7944,0.88458,0.70718,0.73311,0.98251,1.30606,0.0340427,0.000664015,0.000664015
3,439.897,0.98684,0.96802,1.46294,0.89088,0.85135,0.92576,0.76957,0.64787,0.63821,1.23634,0.0010383,0.000992949,0.000992949
4,578.503,0.93105,0.91479,1.41437,0.92662,0.84401,0.93596,0.79424,0.56583,0.56395,1.15352,0.0009901,0.0009901,0.0009901
5,717.6,0.87315,0.83105,1.37167,0.92779,0.88955,0.95688,0.82499,0.55119,0.52368,1.14209,0.0009868,0.0009868,0.0009868
6,856.486,0.85401,0.80593,1.35309,0.92507,0.86844,0.9519,0.81865,0.54406,0.51363,1.14164,0.0009835,0.0009835,0.0009835
7,995.316,0.82994,0.7682,1.33327,0.94422,0.90253,0.96766,0.84251,0.48709,0.48439,1.07519,0.0009802,0.0009802,0.0009802
8,1134.65,0.80312,0.73372,1.31918,0.93298,0.88998,0.9636,0.85187,0.48872,0.48228,1.08152,0.0009769,0.0009769,0.0009769
9,1273.32,0.77953,0.70602,1.29535,0.9546,0.93472,0.97939,0.88215,0.44702,0.3783,1.04403,0.0009736,0.0009736,0.0009736
10,1412.34,0.74892,0.67033,1.26864,0.96554,0.93696,0.98375,0.88602,0.44792,0.38019,1.04935,0.0009703,0.0009703,0.0009703
11,1551.43,0.74715,0.663,1.27265,0.95629,0.93398,0.98078,0.89304,0.42592,0.35119,1.03355,0.000967,0.000967,0.000967
12,1690.12,0.72668,0.64689,1.26012,0.96368,0.94306,0.98275,0.90126,0.4109,0.33577,1.00973,0.0009637,0.0009637,0.0009637
13,1837.81,0.71785,0.6312,1.24649,0.94427,0.94511,0.98261,0.89347,0.41721,0.38133,1.02054,0.0009604,0.0009604,0.0009604
14,1978.29,0.71586,0.61546,1.24632,0.95694,0.92311,0.97668,0.88938,0.41428,0.37943,1.02029,0.0009571,0.0009571,0.0009571
15,2118.52,0.70441,0.6218,1.24616,0.96744,0.93514,0.98228,0.90301,0.39403,0.34605,1.00343,0.0009538,0.0009538,0.0009538
16,2270.29,0.68991,0.59905,1.22258,0.95001,0.94582,0.9839,0.90372,0.3982,0.34581,1.00478,0.0009505,0.0009505,0.0009505
17,2421.86,0.6931,0.59963,1.22497,0.96716,0.9499,0.98751,0.91118,0.39032,0.31691,0.99557,0.0009472,0.0009472,0.0009472
18,2572.98,0.69354,0.6022,1.23853,0.97683,0.95656,0.99012,0.91557,0.37993,0.30194,0.98445,0.0009439,0.0009439,0.0009439
19,2724.17,0.68163,0.58379,1.22064,0.97098,0.95421,0.98937,0.91902,0.38058,0.30509,0.98546,0.0009406,0.0009406,0.0009406
20,2875.32,0.67442,0.5751,1.21847,0.97172,0.93891,0.98586,0.91306,0.3786,0.32019,0.98854,0.0009373,0.0009373,0.0009373
21,3025.98,0.66196,0.55864,1.20753,0.9759,0.94967,0.98832,0.92249,0.3581,0.29213,0.97034,0.000934,0.000934,0.000934
22,3176.99,0.65021,0.55564,1.1954,0.96706,0.9552,0.98916,0.92457,0.366,0.28726,0.96613,0.0009307,0.0009307,0.0009307
23,3327.64,0.66177,0.56061,1.21092,0.97037,0.95803,0.98945,0.92619,0.36377,0.28754,0.96783,0.0009274,0.0009274,0.0009274
24,3478.52,0.64067,0.54078,1.19266,0.97248,0.96248,0.9905,0.92477,0.35412,0.2715,0.96342,0.0009241,0.0009241,0.0009241
25,3629.36,0.65165,0.53829,1.19059,0.97461,0.96285,0.9913,0.9341,0.34266,0.26003,0.95705,0.0009208,0.0009208,0.0009208
26,3780.81,0.65331,0.53781,1.19891,0.98385,0.96446,0.99213,0.93138,0.35117,0.25678,0.95477,0.0009175,0.0009175,0.0009175
27,3932.14,0.64136,0.53486,1.18795,0.97201,0.96422,0.99147,0.93361,0.35053,0.2632,0.95698,0.0009142,0.0009142,0.0009142
28,4083.14,0.61929,0.50536,1.17347,0.96923,0.96507,0.99135,0.93328,0.33397,0.26293,0.95375,0.0009109,0.0009109,0.0009109
29,4223.27,0.63612,0.5283,1.18564,0.97805,0.96767,0.99201,0.93794,0.33289,0.25867,0.94734,0.0009076,0.0009076,0.0009076
30,4360.98,0.62904,0.51242,1.1766,0.97111,0.96915,0.99216,0.93506,0.34112,0.26547,0.94964,0.0009043,0.0009043,0.0009043
31,4498.69,0.61731,0.50392,1.16777,0.97812,0.96566,0.992,0.93599,0.32934,0.26299,0.94523,0.000901,0.000901,0.000901
32,4636.17,0.61028,0.50043,1.16889,0.97438,0.97139,0.99269,0.9392,0.32651,0.25178,0.93759,0.0008977,0.0008977,0.0008977
33,4775.83,0.61235,0.50203,1.16861,0.97685,0.96867,0.99225,0.93984,0.32419,0.25152,0.94255,0.0008944,0.0008944,0.0008944
34,4915.88,0.60561,0.48183,1.165,0.97249,0.96162,0.99091,0.93498,0.33186,0.26159,0.94558,0.0008911,0.0008911,0.0008911
35,5054.8,0.59922,0.48899,1.15813,0.97725,0.96498,0.99242,0.94147,0.32147,0.25191,0.93765,0.0008878,0.0008878,0.0008878
36,5193.84,0.60821,0.49116,1.16484,0.98255,0.96607,0.99292,0.94309,0.3155,0.23989,0.9306,0.0008845,0.0008845,0.0008845
37,5332.87,0.59867,0.48211,1.16051,0.97813,0.97112,0.99304,0.94225,0.31023,0.245,0.93112,0.0008812,0.0008812,0.0008812
38,5472.26,0.59978,0.4877,1.16107,0.97775,0.96841,0.99276,0.94273,0.3137,0.24641,0.92896,0.0008779,0.0008779,0.0008779
39,5611.37,0.59904,0.47657,1.1587,0.97857,0.97063,0.99268,0.94288,0.31707,0.2566,0.93603,0.0008746,0.0008746,0.0008746
40,5750.52,0.58711,0.47666,1.15073,0.97873,0.97359,0.99334,0.94857,0.30829,0.23243,0.92591,0.0008713,0.0008713,0.0008713
41,5889.24,0.5845,0.46897,1.15183,0.97961,0.97532,0.99337,0.94767,0.30174,0.23748,0.92128,0.000868,0.000868,0.000868
42,6027.69,0.57932,0.46557,1.14212,0.97831,0.96915,0.99255,0.94785,0.30257,0.23907,0.91898,0.0008647,0.0008647,0.0008647
43,6166.34,0.58775,0.47066,1.14828,0.98363,0.96878,0.99322,0.94983,0.30497,0.23927,0.92509,0.0008614,0.0008614,0.0008614
44,6305.04,0.5782,0.4664,1.14447,0.98452,0.97297,0.99364,0.9478,0.31026,0.23242,0.92651,0.0008581,0.0008581,0.0008581
45,6444.06,0.57998,0.46439,1.14892,0.98152,0.9634,0.99255,0.94643,0.29954,0.2398,0.92596,0.0008548,0.0008548,0.0008548
46,6582.96,0.5791,0.461,1.14248,0.98356,0.97466,0.99358,0.95008,0.29179,0.23164,0.91449,0.0008515,0.0008515,0.0008515
47,6720.69,0.58536,0.4726,1.15145,0.98333,0.97566,0.99362,0.95025,0.29242,0.22368,0.91733,0.0008482,0.0008482,0.0008482
48,6858.75,0.56885,0.44816,1.13193,0.98439,0.97865,0.99396,0.95621,0.28204,0.21218,0.9047,0.0008449,0.0008449,0.0008449
49,6996.54,0.56579,0.45328,1.13544,0.98236,0.97567,0.99365,0.95278,0.28729,0.22559,0.9082,0.0008416,0.0008416,0.0008416
50,7134.29,0.5619,0.44609,1.13154,0.98469,0.98075,0.9942,0.95593,0.2864,0.21372,0.9075,0.0008383,0.0008383,0.0008383
51,7271.92,0.5645,0.4542,1.12898,0.98054,0.98038,0.99393,0.95425,0.28403,0.21746,0.90923,0.000835,0.000835,0.000835
52,7409.52,0.55187,0.44136,1.12695,0.98585,0.98035,0.9943,0.95986,0.27575,0.20626,0.89985,0.0008317,0.0008317,0.0008317
53,7547.12,0.55112,0.43326,1.1201,0.97857,0.98044,0.99411,0.95566,0.28558,0.21624,0.90477,0.0008284,0.0008284,0.0008284
54,7684.87,0.56371,0.44956,1.13212,0.98403,0.98104,0.99417,0.96019,0.27495,0.20977,0.90376,0.0008251,0.0008251,0.0008251
55,7822.78,0.56279,0.4433,1.12963,0.98361,0.98161,0.99415,0.96039,0.27511,0.20632,0.90109,0.0008218,0.0008218,0.0008218
56,7960.39,0.55522,0.43562,1.12416,0.98487,0.98002,0.99428,0.96006,0.27583,0.20936,0.89804,0.0008185,0.0008185,0.0008185
57,8098.15,0.55729,0.44157,1.12802,0.98632,0.97914,0.99428,0.9618,0.27528,0.20465,0.89959,0.0008152,0.0008152,0.0008152
58,8235.87,0.54479,0.41892,1.11764,0.98728,0.9769,0.99425,0.95952,0.27329,0.2029,0.90194,0.0008119,0.0008119,0.0008119
59,8373.44,0.54782,0.43422,1.1213,0.98459,0.97816,0.99423,0.95906,0.27603,0.21192,0.8994,0.0008086,0.0008086,0.0008086
60,8511.11,0.55343,0.42907,1.12192,0.98528,0.98332,0.99437,0.95888,0.27714,0.21312,0.90284,0.0008053,0.0008053,0.0008053
61,8648.47,0.5493,0.43486,1.12185,0.98441,0.98482,0.9944,0.96154,0.2726,0.20698,0.89494,0.000802,0.000802,0.000802
62,8786.02,0.55249,0.43194,1.12194,0.98675,0.98272,0.99436,0.9604,0.27081,0.2082,0.89771,0.0007987,0.0007987,0.0007987
63,8923.34,0.5391,0.42453,1.1131,0.98576,0.98241,0.99442,0.96065,0.26244,0.19745,0.89344,0.0007954,0.0007954,0.0007954
64,9061.06,0.54405,0.42103,1.11897,0.98639,0.98368,0.99451,0.96181,0.2687,0.19845,0.89243,0.0007921,0.0007921,0.0007921
