"Image","Condition","Mantle SKU","Product Name","Short Code","Rarity","Card Type","Card Number","Product Line","Foil"
https://images.pokemontcg.io/ex1/82_hires.png,Near Mint Foil,PKM-ex1-82-NM-F,Energy Switch,ex1-82,Uncommon,,"82",Pokemon,
https://images.pokemontcg.io/ex1/82_hires.png,Near Mint,PKM-ex1-82-NM,Energy Switch,ex1-82,Uncommon,,"82",Pokemon,
https://images.pokemontcg.io/ex1/93_hires.png,Near Mint,PKM-ex1-93-NM,Darkness Energy,ex1-93,Rare,,"93",Pokemon,
https://images.pokemontcg.io/ex1/93_hires.png,Near Mint Foil,PKM-ex1-93-NM-F,Darkness Energy,ex1-93,Rare,,"93",Pokemon,
https://images.pokemontcg.io/ex1/90_hires.png,Near Mint Foil,PKM-ex1-90-NM-F,Energy Search,ex1-90,Common,,"90",Pokemon,
https://images.pokemontcg.io/ex1/90_hires.png,Near Mint,PKM-ex1-90-NM,Energy Search,ex1-90,Common,,"90",Pokemon,
https://images.pokemontcg.io/ex1/105_hires.png,Near Mint Foil,PKM-ex1-105-NM-F,Fighting Energy,ex1-105,Common,,"105",Pokemon,
https://images.pokemontcg.io/ex1/104_hires.png,Near Mint,PKM-ex1-104-NM,Grass Energy,ex1-104,Common,,"104",Pokemon,
https://images.pokemontcg.io/ex1/92_hires.png,Near Mint,PKM-ex1-92-NM,Switch,ex1-92,Common,,"92",Pokemon,
https://images.pokemontcg.io/ex1/104_hires.png,Near Mint Foil,PKM-ex1-104-NM-F,Grass Energy,ex1-104,Common,,"104",Pokemon,
https://images.pokemontcg.io/ex1/91_hires.png,Near Mint,PKM-ex1-91-NM,Potion,ex1-91,Common,,"91",Pokemon,
https://images.pokemontcg.io/ex1/91_hires.png,Near Mint Foil,PKM-ex1-91-NM-F,Potion,ex1-91,Common,,"91",Pokemon,
https://images.pokemontcg.io/ex1/105_hires.png,Near Mint,PKM-ex1-105-NM,Fighting Energy,ex1-105,Common,,"105",Pokemon,
https://images.pokemontcg.io/ex1/109_hires.png,Near Mint Foil,PKM-ex1-109-NM-F,Lightning Energy,ex1-109,Common,,"109",Pokemon,
https://images.pokemontcg.io/ex1/109_hires.png,Near Mint,PKM-ex1-109-NM,Lightning Energy,ex1-109,Common,,"109",Pokemon,
https://images.pokemontcg.io/swsh10/137_hires.png,Near Mint,PKM-swsh10-137-NM,Choy,swsh10-137,Uncommon,,"137",Pokemon,
https://images.pokemontcg.io/swsh10/137_hires.png,Near Mint Foil,PKM-swsh10-137-NM-F,Choy,swsh10-137,Uncommon,,"137",Pokemon,
https://images.pokemontcg.io/swsh10/159_hires.png,Near Mint,PKM-swsh10-159-NM,Zisu,swsh10-159,Uncommon,,"159",Pokemon,
https://images.pokemontcg.io/swsh10/159_hires.png,Near Mint Foil,PKM-swsh10-159-NM-F,Zisu,swsh10-159,Uncommon,,"159",Pokemon,
https://images.pokemontcg.io/sv1/177_hires.png,Near Mint,PKM-sv1-177-NM,Katy,sv1-177,Uncommon,,"177",Pokemon,
https://images.pokemontcg.io/sv1/177_hires.png,Near Mint Foil,PKM-sv1-177-NM-F,Katy,sv1-177,Uncommon,,"177",Pokemon,
https://images.pokemontcg.io/ex1/101_hires.png,Near Mint,PKM-ex1-101-NM,Mewtwo ex,ex1-101,Rare Holo EX,,"101",Pokemon,
https://images.pokemontcg.io/ex1/96_hires.png,Near Mint Foil,PKM-ex1-96-NM-F,Chansey ex,ex1-96,Rare Holo EX,,"96",Pokemon,
